task_id,task_name,task_description,pattern,lifecycle_phase,lifecycle_level,lifecycle_moment,stage,step,requiredness,condition,has_coverage_rules,coverage_rules_description,ui_type, note_type_keys, catalogue_key, generator_key
lead_001,Device Registration,Register measurement device with manufacturer model serial number calibration info and ASN authorization details,generator,offsite-pre,report,before_arriving,1.A,report.pre-visit,always,,false,,generator,,,lead_measurement_device
lead_002,Lead Report Mission Configuration,Configure mission type analysis scope property purpose and occupant information for lead report,form,offsite-pre,case,before_arriving,1.A,case.selection,always,,false,,form,,,
lead_003,Laboratory Registration,Register laboratory information including name contact and coordinates,form,offsite-pre,report,before_arriving,1.A,report.pre-visit,optional,,false,,form,,,
lead_004,Initial Device Sampling,Take initial calibration and standard measurement at beginning of mission,form,onsite,report,on_creation,2.A,case.setup,always,,false,,form,,,
lead_005,Mid-Mission Device Sampling,Take mid-mission calibration and standard measurement during room inspection,form,onsite,report,on_overview,2.G,room.overview,always,,false,,form,,,
lead_006,Final Device Sampling,Take final calibration and standard measurement at end of mission before leaving site,form,onsite,report,on_completion,2.L,report.on-completion,always,,false,,form,,,
lead_007,Room Visit Registration,Register which rooms are visited during the inspection,form,onsite,storey,on_overview,2.C,storey.overview,always,,false,,form,,,
lead_008,Unmeasured Room Justification,Provide reason for rooms that are visited but not measured,form,onsite,storey,on_overview,2.C,storey.overview,always_if,room_visited_and_not_measured,false,,form,,,
lead_009,Uncontrollable Elements Registration,Register elements that cannot be controlled in lead mode before works with location and reason,form,onsite,room,on_overview,2.G,room.overview,optional,,false,,form,,,
lead_010,Element Sample Capture,Capture samples of building elements with properties substrate coating degradation nature type conservation state and measurements discovery task with pictures,observation_capture,onsite,room,on_overview,2.G,room.overview,always,,false,,observation_capture,lead_element_sample,,
lead_011,Element Measurement Entry,Enter measurement details for sampled elements including measurement value precision and classification,form,onsite,room,on_overview,2.G,room.overview,always_if,element_sample_captured,false,,form,,,
lead_012,Laboratory Sample Registration,Register samples sent to laboratory with analysis number dispatch date and reception date,form,onsite,report,on_overview,2.G,room.overview,optional,,false,,form,,,
lead_013,Laboratory Results Entry,Enter laboratory measurement results for samples including measurement value classification and degradation,form,offsite-post,report,on_completion,3.A,case.report-completion,always_if,laboratory_samples_registered,false,,form,,,
lead_014,Results Visualization,Visualize measurement results and classifications by room and UD class with summary statistics,form,offsite-post,report,on_completion,3.A,case.report-completion,always,,false,,form,,,
lead_015,Results Summary,View summary statistics including UD classes percentages and totals aggregated by room,form,offsite-post,report,on_completion,3.A,case.report-completion,always,,false,,form,,,
lead_016,Device Import,Import samples from measurement device,form,offsite-post,report,on_completion,3.A,case.report-completion,optional,,false,,form,,,
lead_017,Other Information Entry,Enter building degradation factors and various observations,form,offsite-post,report,on_completion,3.A,case.report-completion,optional,,false,,form,,,
